period,programme,scheme,scheme_description,basis,nationality_code,nationality,recipients
2016Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),120
2016Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,06,Other nationals,29
2016Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,00,All,91679
2016Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,01,Irish nationals,79868
2016Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,03,United Kingdom,2443
2016Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),820
2016Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),7728
2016Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,06,Other nationals,820
2016Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,00,All,123782
2016Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,01,Irish nationals,112909
2016Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,03,United Kingdom,5156
2016Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),526
2016Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),3842
2016Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,06,Other nationals,1349
2016Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,00,All,56496
2016Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,01,Irish nationals,53950
2016Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,03,United Kingdom,1306
2016Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),204
2016Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),913
2016Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,06,Other nationals,123
2016Q2,Pensions,SPC,State Pension Contributory,Social Insurance,00,All,369231
2016Q2,Pensions,SPC,State Pension Contributory,Social Insurance,01,Irish nationals,357982
2016Q2,Pensions,SPC,State Pension Contributory,Social Insurance,03,United Kingdom,7991
2016Q2,Pensions,SPC,State Pension Contributory,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),1407
2016Q2,Pensions,SPC,State Pension Contributory,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),436
2016Q2,Pensions,SPC,State Pension Contributory,Social Insurance,06,Other nationals,1415
2016Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,00,All,96610
2016Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,01,Irish nationals,90117
2016Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,03,United Kingdom,4655
2016Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),460
2016Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),738
2016Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,06,Other nationals,640
2016Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,00,All,121415
2016Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,01,Irish nationals,116965
2016Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,03,United Kingdom,2585
2016Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),451
2016Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),831
2016Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,06,Other nationals,583
2016Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,00,All,47313
2016Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,01,Irish nationals,41663
2016Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,03,United Kingdom,3387
2016Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),339
2016Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),1248
2016Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,06,Other nationals,676
2016Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,00,All,77913
2016Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,01,Irish nationals,75697
2016Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,03,United Kingdom,1719
2016Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),217
2016Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),157
2016Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,06,Other nationals,123
2016Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,00,All,56863
2016Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,01,Irish nationals,38152
2016Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,03,United Kingdom,2620
2016Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),892
2016Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),10774
2016Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,06,Other nationals,4425
2016Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,00,All,30152
2016Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,01,Irish nationals,24523
2016Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,03,United Kingdom,624
2016Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),664
2016Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),3579
2016Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,06,Other nationals,762
2016Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,00,All,43712
2016Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,01,Irish nationals,37469
2016Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,03,United Kingdom,1268
2016Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),245
2016Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),3284
2016Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,06,Other nationals,1446
2016Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,00,All,296415
2016Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,01,Irish nationals,245016
2016Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,03,United Kingdom,12185
2016Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),2844
2016Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),28075
2016Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,06,Other nationals,8295
2016Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,00,All,66005
2016Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,01,Irish nationals,54999
2016Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,03,United Kingdom,1823
2016Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),1111
2016Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),7326
2016Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,06,Other nationals,746
2016Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,00,All,1639
2016Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,01,Irish nationals,1274
2016Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,03,United Kingdom,123
2016Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),25
2016Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),175
2016Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,06,Other nationals,42
2016Q3,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,00,All,13313
2016Q3,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,01,Irish nationals,11071
2016Q3,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,03,United Kingdom,484
2016Q3,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),82
2016Q3,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),1449
2016Q3,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,06,Other nationals,227
2016Q3,Children,CB,Child Benefit,Social Assistance,00,All,626354
2016Q3,Children,CB,Child Benefit,Social Assistance,01,Irish nationals,506158
2016Q3,Children,CB,Child Benefit,Social Assistance,03,United Kingdom,20781
2016Q3,Children,CB,Child Benefit,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),9673
2016Q3,Children,CB,Child Benefit,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),65908
2016Q3,Children,CB,Child Benefit,Social Assistance,06,Other nationals,23834
2016Q3,Children,FIS,Family Income Supplement,Social Assistance,00,All,60950
2016Q3,Children,FIS,Family Income Supplement,Social Assistance,01,Irish nationals,43843
2016Q3,Children,FIS,Family Income Supplement,Social Assistance,03,United Kingdom,2122
2016Q3,Children,FIS,Family Income Supplement,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),682
2016Q3,Children,FIS,Family Income Supplement,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),12579
2016Q3,Children,FIS,Family Income Supplement,Social Assistance,06,Other nationals,1724
2016Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,00,All,69659
2016Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,01,Irish nationals,63963
2016Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,03,United Kingdom,2983
2016Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),242
2016Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),1604
2016Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,06,Other nationals,867
2016Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,00,All,3093
2016Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,01,Irish nationals,2836
2016Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,03,United Kingdom,73
2016Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),21
2016Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),134
2016Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,06,Other nationals,29
2016Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,00,All,89940
2016Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,01,Irish nationals,78303
2016Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,03,United Kingdom,2334
2016Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),759
2016Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),7718
2016Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,06,Other nationals,826
2016Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,00,All,125413
2016Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,01,Irish nationals,114302
2016Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,03,United Kingdom,5222
2016Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),535
2016Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),3982
2016Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,06,Other nationals,1372
2016Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,00,All,56358
2016Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,01,Irish nationals,53730
2016Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,03,United Kingdom,1310
2016Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),207
2016Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),984
2016Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,06,Other nationals,127
2016Q3,Pensions,SPC,State Pension Contributory,Social Insurance,00,All,373833
2016Q3,Pensions,SPC,State Pension Contributory,Social Insurance,01,Irish nationals,362314
2016Q3,Pensions,SPC,State Pension Contributory,Social Insurance,03,United Kingdom,8161
2016Q3,Pensions,SPC,State Pension Contributory,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),1435
2016Q3,Pensions,SPC,State Pension Contributory,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),489
2016Q3,Pensions,SPC,State Pension Contributory,Social Insurance,06,Other nationals,1434
2016Q3,Pensions,SPNC,State Pension Non Contributory,Social Assistance,00,All,96789
2016Q3,Pensions,SPNC,State Pension Non Contributory,Social Assistance,01,Irish nationals,90140
2016Q3,Pensions,SPNC,State Pension Non Contributory,Social Assistance,03,United Kingdom,4704
2016Q3,Pensions,SPNC,State Pension Non Contributory,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),475
2016Q3,Pensions,SPNC,State Pension Non Contributory,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),812
2016Q3,Pensions,SPNC,State Pension Non Contributory,Social Assistance,06,Other nationals,658
2016Q3,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,00,All,121838
2016Q3,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,01,Irish nationals,117260
2016Q3,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,03,United Kingdom,2634
2016Q3,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),463
2016Q3,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),882
2016Q3,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,06,Other nationals,599
2016Q3,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,00,All,48333
2016Q3,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,01,Irish nationals,42526
2016Q3,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,03,United Kingdom,3452
2016Q3,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),337
2016Q3,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),1319
2016Q3,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,06,Other nationals,699
2016Q3,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,00,All,79648
2016Q3,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,01,Irish nationals,77386
2016Q3,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,03,United Kingdom,1753
2016Q3,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),218
2016Q3,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),171
2016Q3,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,06,Other nationals,120
2016Q3,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,00,All,53233
2016Q3,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,01,Irish nationals,35592
2016Q3,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,03,United Kingdom,2426
2016Q3,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),856
2016Q3,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),10076
2016Q3,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,06,Other nationals,4283
2016Q3,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,00,All,30457
2016Q3,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,01,Irish nationals,24619
2016Q3,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,03,United Kingdom,639
2016Q3,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),689
2016Q3,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),3718
2016Q3,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,06,Other nationals,792
2016Q3,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,00,All,43307
2016Q3,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,01,Irish nationals,37122
2016Q3,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,03,United Kingdom,1240
2016Q3,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),239
2016Q3,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),3246
2016Q3,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,06,Other nationals,1460
2016Q3,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,00,All,263
2016Q3,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,01,Irish nationals,213
2016Q3,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,03,United Kingdom,7
2016Q3,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),8
2016Q3,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),30
2016Q3,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,06,Other nationals,5
2016Q3,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,00,All,288128
2016Q3,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,01,Irish nationals,238559
2016Q3,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,03,United Kingdom,11880
2016Q3,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),2783
2016Q3,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),26460
2016Q3,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,06,Other nationals,8446
2016Q3,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,00,All,67116
2016Q3,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,01,Irish nationals,57003
2016Q3,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,03,United Kingdom,1791
2016Q3,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),1051
2016Q3,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),6592
2016Q3,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,06,Other nationals,679
2016Q3,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,00,All,1607
2016Q3,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,01,Irish nationals,1235
2016Q3,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,03,United Kingdom,126
2016Q3,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),24
2016Q3,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),181
2016Q3,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,06,Other nationals,41
2016Q4,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,00,All,13840
2016Q4,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,01,Irish nationals,11378
2016Q4,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,03,United Kingdom,511
2016Q4,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),86
2016Q4,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),1602
2016Q4,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,06,Other nationals,263
2016Q4,Children,CB,Child Benefit,Social Assistance,00,All,632617
2016Q4,Children,CB,Child Benefit,Social Assistance,01,Irish nationals,510353
2016Q4,Children,CB,Child Benefit,Social Assistance,03,United Kingdom,20997
2016Q4,Children,CB,Child Benefit,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),9885
2016Q4,Children,CB,Child Benefit,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),66887
2016Q4,Children,CB,Child Benefit,Social Assistance,06,Other nationals,24495
2016Q4,Children,FIS,Family Income Supplement,Social Assistance,00,All,61801
2016Q4,Children,FIS,Family Income Supplement,Social Assistance,01,Irish nationals,44442
2016Q4,Children,FIS,Family Income Supplement,Social Assistance,03,United Kingdom,2158
2016Q4,Children,FIS,Family Income Supplement,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),696
2016Q4,Children,FIS,Family Income Supplement,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),12703
2016Q4,Children,FIS,Family Income Supplement,Social Assistance,06,Other nationals,1802
2016Q4,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,00,All,71907
2016Q4,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,01,Irish nationals,65915
2016Q4,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,03,United Kingdom,3104
2016Q4,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),262
2016Q4,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),1710
2016Q4,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,06,Other nationals,916
2016Q4,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,00,All,3187
2016Q4,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,01,Irish nationals,2897
2016Q4,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,03,United Kingdom,81
2016Q4,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),27
2016Q4,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),153
2016Q4,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,06,Other nationals,29
2016Q4,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,00,All,90142
2016Q4,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,01,Irish nationals,78432
2016Q4,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,03,United Kingdom,2381
2016Q4,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),782
2016Q4,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),7766
2016Q4,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,06,Other nationals,781
2016Q4,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,00,All,127503
2016Q4,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,01,Irish nationals,115945
2016Q4,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,03,United Kingdom,5337
2016Q4,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),560
2016Q4,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),4214
2016Q4,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,06,Other nationals,1447
2016Q4,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,00,All,56477
2016Q4,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,01,Irish nationals,53731
2016Q4,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,03,United Kingdom,1325
2016Q4,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),218
2016Q4,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),1067
2016Q4,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,06,Other nationals,136
2016Q4,Pensions,SPC,State Pension Contributory,Social Insurance,00,All,377401
2016Q4,Pensions,SPC,State Pension Contributory,Social Insurance,01,Irish nationals,365616
2016Q4,Pensions,SPC,State Pension Contributory,Social Insurance,03,United Kingdom,8314
2016Q4,Pensions,SPC,State Pension Contributory,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),1459
2016Q4,Pensions,SPC,State Pension Contributory,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),538
2016Q4,Pensions,SPC,State Pension Contributory,Social Insurance,06,Other nationals,1474
